HHS Region,month_dt,Numerator,Population
Region 1,2022-07-01,17110.0,1328581.0
Region 1,2022-08-01,42110.0,1328581.0
Region 1,2022-09-01,129698.0,1328581.0
Region 1,2022-10-01,297855.0,1328581.0
Region 1,2022-11-01,430376.0,1328581.0
Region 1,2022-12-01,508781.0,1328581.0
Region 1,2023-01-01,545783.0,1328581.0
Region 1,2023-02-01,563456.0,1328581.0
Region 1,2023-03-01,575885.0,1328581.0
Region 1,2023-04-01,581451.0,1328581.0
Region 1,2023-05-01,586289.0,1328581.0
Region 1,2023-06-01,590354.0,1328581.0
Region 1,2023-07-01,10473.0,1319459.0
Region 1,2023-08-01,32037.0,1319459.0
Region 1,2023-09-01,120926.0,1319459.0
Region 1,2023-10-01,290255.0,1319459.0
Region 1,2023-11-01,408931.0,1319459.0
Region 1,2023-12-01,477125.0,1319459.0
Region 1,2024-01-01,515473.0,1319459.0
Region 1,2024-02-01,535531.0,1319459.0
Region 1,2024-03-01,547338.0,1319459.0
Region 1,2024-04-01,553606.0,1319459.0
Region 1,2024-05-01,558586.0,1319459.0
Region 1,2024-06-01,562616.0,1319459.0
Region 1,2024-07-01,11706.0,1312528.0
Region 1,2024-08-01,31987.0,1312528.0
Region 1,2024-09-01,118220.0,1312528.0
Region 1,2024-10-01,282627.0,1312528.0
Region 1,2024-11-01,388693.0,1312528.0
Region 1,2024-12-01,451438.0,1312528.0
Region 1,2025-01-01,489041.0,1312528.0
Region 1,2025-02-01,509405.0,1312528.0
Region 1,2025-03-01,522270.0,1312528.0
Region 1,2025-04-01,529415.0,1312528.0
Region 1,2025-05-01,534833.0,1312528.0
Region 1,2025-06-01,538690.0,1312528.0
Region 1,2025-07-01,0.0,0.0
Region 1,2025-08-01,0.0,0.0
Region 1,2025-09-01,0.0,0.0
Region 1,2025-10-01,0.0,0.0
Region 1,2025-11-01,0.0,0.0
Region 1,2025-12-01,0.0,0.0
Region 10,2022-07-01,217.0,3111330.0
Region 10,2022-08-01,4024.0,3111330.0
Region 10,2022-09-01,118680.0,3111330.0
Region 10,2022-10-01,389489.0,3111330.0
Region 10,2022-11-01,610027.0,3111330.0
Region 10,2022-12-01,736149.0,3111330.0
Region 10,2023-01-01,800349.0,3111330.0
Region 10,2023-02-01,836783.0,3111330.0
Region 10,2023-03-01,860413.0,3111330.0
Region 10,2023-04-01,868874.0,3111330.0
Region 10,2023-05-01,872703.0,3111330.0
Region 10,2023-06-01,874289.0,3111330.0
Region 10,2023-07-01,63.0,3082118.0
Region 10,2023-08-01,5773.0,3082118.0
Region 10,2023-09-01,138845.0,3082118.0
Region 10,2023-10-01,404378.0,3082118.0
Region 10,2023-11-01,581020.0,3082118.0
Region 10,2023-12-01,671527.0,3082118.0
Region 10,2024-01-01,729667.0,3082118.0
Region 10,2024-02-01,768491.0,3082118.0
Region 10,2024-03-01,790804.0,3082118.0
Region 10,2024-04-01,800951.0,3082118.0
Region 10,2024-05-01,805490.0,3082118.0
Region 10,2024-06-01,807351.0,3082118.0
Region 10,2024-07-01,49.0,3059924.0
Region 10,2024-08-01,5579.0,3059924.0
Region 10,2024-09-01,125547.0,3059924.0
Region 10,2024-10-01,385315.0,3059924.0
Region 10,2024-11-01,539268.0,3059924.0
Region 10,2024-12-01,620930.0,3059924.0
Region 10,2025-01-01,680534.0,3059924.0
Region 10,2025-02-01,722797.0,3059924.0
Region 10,2025-03-01,749912.0,3059924.0
Region 10,2025-04-01,761827.0,3059924.0
Region 10,2025-05-01,766586.0,3059924.0
Region 10,2025-06-01,326779.0,1444330.0
Region 10,2025-07-01,12.0,457113.0
Region 10,2025-08-01,146.0,457113.0
Region 10,2025-09-01,10519.0,457113.0
Region 10,2025-10-01,38903.0,457113.0
Region 10,2025-11-01,55612.0,457113.0
Region 10,2025-12-01,65291.0,457113.0
Region 2,2022-07-01,699.0,1982009.0
Region 2,2022-08-01,22187.0,1982009.0
Region 2,2022-09-01,141300.0,1982009.0
Region 2,2022-10-01,346261.0,1982009.0
Region 2,2022-11-01,525008.0,1982009.0
Region 2,2022-12-01,642020.0,1982009.0
Region 2,2023-01-01,698514.0,1982009.0
Region 2,2023-02-01,720957.0,1982009.0
Region 2,2023-03-01,733949.0,1982009.0
Region 2,2023-04-01,737595.0,1982009.0
Region 2,2023-05-01,739008.0,1982009.0
Region 2,2023-06-01,739534.0,1982009.0
Region 2,2023-07-01,346.0,1975490.0
Region 2,2023-08-01,20414.0,1975490.0
Region 2,2023-09-01,150976.0,1975490.0
Region 2,2023-10-01,355775.0,1975490.0
Region 2,2023-11-01,504769.0,1975490.0
Region 2,2023-12-01,605833.0,1975490.0
Region 2,2024-01-01,659818.0,1975490.0
Region 2,2024-02-01,683623.0,1975490.0
Region 2,2024-03-01,696231.0,1975490.0
Region 2,2024-04-01,700884.0,1975490.0
Region 2,2024-05-01,702576.0,1975490.0
Region 2,2024-06-01,703054.0,1975490.0
Region 2,2024-07-01,221.0,1982945.0
Region 2,2024-08-01,19993.0,1982945.0
Region 2,2024-09-01,145200.0,1982945.0
Region 2,2024-10-01,345974.0,1982945.0
Region 2,2024-11-01,488428.0,1982945.0
Region 2,2024-12-01,584863.0,1982945.0
Region 2,2025-01-01,636279.0,1982945.0
Region 2,2025-02-01,660793.0,1982945.0
Region 2,2025-03-01,673025.0,1982945.0
Region 2,2025-04-01,676985.0,1982945.0
Region 2,2025-05-01,677944.0,1982945.0
Region 2,2025-06-01,678087.0,1982945.0
Region 2,2025-07-01,0.0,0.0
Region 2,2025-08-01,0.0,0.0
Region 2,2025-09-01,0.0,0.0
Region 2,2025-10-01,0.0,0.0
Region 2,2025-11-01,0.0,0.0
Region 2,2025-12-01,0.0,0.0
Region 3,2022-07-01,284.0,4301556.0
Region 3,2022-08-01,18212.0,4301556.0
Region 3,2022-09-01,250830.0,4301556.0
Region 3,2022-10-01,705781.0,4301556.0
Region 3,2022-11-01,1041355.0,4301556.0
Region 3,2022-12-01,1204820.0,4301556.0
Region 3,2023-01-01,1288187.0,4301556.0
Region 3,2023-02-01,1336501.0,4301556.0
Region 3,2023-03-01,1363934.0,4301556.0
Region 3,2023-04-01,1371285.0,4301556.0
Region 3,2023-05-01,1374202.0,4301556.0
Region 3,2023-06-01,1375198.0,4301556.0
Region 3,2023-07-01,157.0,4281671.0
Region 3,2023-08-01,12434.0,4281671.0
Region 3,2023-09-01,246218.0,4281671.0
Region 3,2023-10-01,668652.0,4281671.0
Region 3,2023-11-01,949465.0,4281671.0
Region 3,2023-12-01,1082286.0,4281671.0
Region 3,2024-01-01,1162656.0,4281671.0
Region 3,2024-02-01,1216822.0,4281671.0
Region 3,2024-03-01,1244693.0,4281671.0
Region 3,2024-04-01,1256712.0,4281671.0
Region 3,2024-05-01,1260653.0,4281671.0
Region 3,2024-06-01,1263130.0,4281671.0
Region 3,2024-07-01,218.0,4272522.0
Region 3,2024-08-01,11063.0,4272522.0
Region 3,2024-09-01,224191.0,4272522.0
Region 3,2024-10-01,622363.0,4272522.0
Region 3,2024-11-01,870413.0,4272522.0
Region 3,2024-12-01,985750.0,4272522.0
Region 3,2025-01-01,1062791.0,4272522.0
Region 3,2025-02-01,1115759.0,4272522.0
Region 3,2025-03-01,1145216.0,4272522.0
Region 3,2025-04-01,1154891.0,4272522.0
Region 3,2025-05-01,1157959.0,4272522.0
Region 3,2025-06-01,1159892.0,4272522.0
Region 3,2025-07-01,4.0,125825.0
Region 3,2025-08-01,536.0,125825.0
Region 3,2025-09-01,8554.0,125825.0
Region 3,2025-10-01,22257.0,125825.0
Region 3,2025-11-01,29808.0,125825.0
Region 3,2025-12-01,34194.0,125825.0
Region 4,2022-07-01,2268.0,13203279.0
Region 4,2022-08-01,29881.0,13203279.0
Region 4,2022-09-01,330339.0,13203279.0
Region 4,2022-10-01,1028193.0,13203279.0
Region 4,2022-11-01,1579323.0,13203279.0
Region 4,2022-12-01,1849742.0,13203279.0
Region 4,2023-01-01,2007547.0,13203279.0
Region 4,2023-02-01,2102092.0,13203279.0
Region 4,2023-03-01,2163814.0,13203279.0
Region 4,2023-04-01,2191155.0,13203279.0
Region 4,2023-05-01,2205926.0,13203279.0
Region 4,2023-06-01,2212565.0,13203279.0
Region 4,2023-07-01,1368.0,13312275.0
Region 4,2023-08-01,31359.0,13312275.0
Region 4,2023-09-01,410989.0,13312275.0
Region 4,2023-10-01,1044593.0,13312275.0
Region 4,2023-11-01,1476311.0,13312275.0
Region 4,2023-12-01,1705354.0,13312275.0
Region 4,2024-01-01,1875741.0,13312275.0
Region 4,2024-02-01,1978909.0,13312275.0
Region 4,2024-03-01,2032390.0,13312275.0
Region 4,2024-04-01,2063556.0,13312275.0
Region 4,2024-05-01,2076638.0,13312275.0
Region 4,2024-06-01,2083435.0,13312275.0
Region 4,2024-07-01,1040.0,13415194.0
Region 4,2024-08-01,34229.0,13415194.0
Region 4,2024-09-01,377066.0,13415194.0
Region 4,2024-10-01,972199.0,13415194.0
Region 4,2024-11-01,1678584.0,13415194.0
Region 4,2024-12-01,1933483.0,13415194.0
Region 4,2025-01-01,2133095.0,13415194.0
Region 4,2025-02-01,2260760.0,13415194.0
Region 4,2025-03-01,2336813.0,13415194.0
Region 4,2025-04-01,2369714.0,13415194.0
Region 4,2025-05-01,2384561.0,13415194.0
Region 4,2025-06-01,2393258.0,13415194.0
Region 4,2025-07-01,200.0,5777447.0
Region 4,2025-08-01,19288.0,5777447.0
Region 4,2025-09-01,249949.0,5777447.0
Region 4,2025-10-01,623227.0,5777447.0
Region 4,2025-11-01,845119.0,5777447.0
Region 4,2025-12-01,994228.0,5777447.0
Region 5,2022-07-01,662.0,11492529.0
Region 5,2022-08-01,31608.0,11492529.0
Region 5,2022-09-01,487834.0,11492529.0
Region 5,2022-10-01,1480321.0,11492529.0
Region 5,2022-11-01,2262472.0,11492529.0
Region 5,2022-12-01,2648445.0,11492529.0
Region 5,2023-01-01,2837278.0,11492529.0
Region 5,2023-02-01,2933140.0,11492529.0
Region 5,2023-03-01,2988708.0,11492529.0
Region 5,2023-04-01,3004843.0,11492529.0
Region 5,2023-05-01,3012044.0,11492529.0
Region 5,2023-06-01,3014426.0,11492529.0
Region 5,2023-07-01,279.0,11378952.0
Region 5,2023-08-01,26521.0,11378952.0
Region 5,2023-09-01,466847.0,11378952.0
Region 5,2023-10-01,1411512.0,11378952.0
Region 5,2023-11-01,2019080.0,11378952.0
Region 5,2023-12-01,2317790.0,11378952.0
Region 5,2024-01-01,2512577.0,11378952.0
Region 5,2024-02-01,2620033.0,11378952.0
Region 5,2024-03-01,2678394.0,11378952.0
Region 5,2024-04-01,2700202.0,11378952.0
Region 5,2024-05-01,2708685.0,11378952.0
Region 5,2024-06-01,2713912.0,11378952.0
Region 5,2024-07-01,301.0,11303698.0
Region 5,2024-08-01,24853.0,11303698.0
Region 5,2024-09-01,481552.0,11303698.0
Region 5,2024-10-01,1374142.0,11303698.0
Region 5,2024-11-01,1941356.0,11303698.0
Region 5,2024-12-01,2207923.0,11303698.0
Region 5,2025-01-01,2402028.0,11303698.0
Region 5,2025-02-01,2521701.0,11303698.0
Region 5,2025-03-01,2582295.0,11303698.0
Region 5,2025-04-01,2603422.0,11303698.0
Region 5,2025-05-01,2610199.0,11303698.0
Region 5,2025-06-01,2258953.0,10030706.0
Region 5,2025-07-01,48.0,1546619.0
Region 5,2025-08-01,2495.0,1546619.0
Region 5,2025-09-01,54672.0,1546619.0
Region 5,2025-10-01,162240.0,1546619.0
Region 5,2025-11-01,224698.0,1546619.0
Region 5,2025-12-01,260969.0,1546619.0
Region 6,2022-07-01,1124.0,10426640.0
Region 6,2022-08-01,15329.0,10426640.0
Region 6,2022-09-01,260606.0,10426640.0
Region 6,2022-10-01,896007.0,10426640.0
Region 6,2022-11-01,1355424.0,10426640.0
Region 6,2022-12-01,1596800.0,10426640.0
Region 6,2023-01-01,1732607.0,10426640.0
Region 6,2023-02-01,1809676.0,10426640.0
Region 6,2023-03-01,1860208.0,10426640.0
Region 6,2023-04-01,1878095.0,10426640.0
Region 6,2023-05-01,1888889.0,10426640.0
Region 6,2023-06-01,1894105.0,10426640.0
Region 6,2023-07-01,806.0,10478367.0
Region 6,2023-08-01,11834.0,10478367.0
Region 6,2023-09-01,295196.0,10478367.0
Region 6,2023-10-01,891520.0,10478367.0
Region 6,2023-11-01,1288059.0,10478367.0
Region 6,2023-12-01,1503885.0,10478367.0
Region 6,2024-01-01,1658627.0,10478367.0
Region 6,2024-02-01,1753366.0,10478367.0
Region 6,2024-03-01,1803751.0,10478367.0
Region 6,2024-04-01,1826338.0,10478367.0
Region 6,2024-05-01,1837345.0,10478367.0
Region 6,2024-06-01,1843665.0,10478367.0
Region 6,2024-07-01,566.0,10540562.0
Region 6,2024-08-01,14862.0,10540562.0
Region 6,2024-09-01,294239.0,10540562.0
Region 6,2024-10-01,856216.0,10540562.0
Region 6,2024-11-01,1203334.0,10540562.0
Region 6,2024-12-01,1409384.0,10540562.0
Region 6,2025-01-01,1564170.0,10540562.0
Region 6,2025-02-01,1667790.0,10540562.0
Region 6,2025-03-01,1727340.0,10540562.0
Region 6,2025-04-01,1748372.0,10540562.0
Region 6,2025-05-01,1757435.0,10540562.0
Region 6,2025-06-01,1761857.0,10540562.0
Region 6,2025-07-01,92.0,2666756.0
Region 6,2025-08-01,1784.0,2666756.0
Region 6,2025-09-01,52297.0,2666756.0
Region 6,2025-10-01,192071.0,2666756.0
Region 6,2025-11-01,297794.0,2666756.0
Region 6,2025-12-01,350589.0,2666756.0
Region 7,2022-07-01,83.0,2072848.0
Region 7,2022-08-01,2121.0,2072848.0
Region 7,2022-09-01,60146.0,2072848.0
Region 7,2022-10-01,256657.0,2072848.0
Region 7,2022-11-01,395230.0,2072848.0
Region 7,2022-12-01,460687.0,2072848.0
Region 7,2023-01-01,488807.0,2072848.0
Region 7,2023-02-01,502170.0,2072848.0
Region 7,2023-03-01,508770.0,2072848.0
Region 7,2023-04-01,510435.0,2072848.0
Region 7,2023-05-01,511094.0,2072848.0
Region 7,2023-06-01,511357.0,2072848.0
Region 7,2023-07-01,42.0,2062824.0
Region 7,2023-08-01,2000.0,2062824.0
Region 7,2023-09-01,69720.0,2062824.0
Region 7,2023-10-01,249668.0,2062824.0
Region 7,2023-11-01,356696.0,2062824.0
Region 7,2023-12-01,401779.0,2062824.0
Region 7,2024-01-01,427425.0,2062824.0
Region 7,2024-02-01,441559.0,2062824.0
Region 7,2024-03-01,462323.0,2062824.0
Region 7,2024-04-01,464546.0,2062824.0
Region 7,2024-05-01,465385.0,2062824.0
Region 7,2024-06-01,466076.0,2062824.0
Region 7,2024-07-01,10.0,2057816.0
Region 7,2024-08-01,1482.0,2057816.0
Region 7,2024-09-01,67076.0,2057816.0
Region 7,2024-10-01,232180.0,2057816.0
Region 7,2024-11-01,328746.0,2057816.0
Region 7,2024-12-01,376502.0,2057816.0
Region 7,2025-01-01,404748.0,2057816.0
Region 7,2025-02-01,423010.0,2057816.0
Region 7,2025-03-01,430457.0,2057816.0
Region 7,2025-04-01,432362.0,2057816.0
Region 7,2025-05-01,433131.0,2057816.0
Region 7,2025-06-01,433462.0,2057816.0
Region 7,2025-07-01,18.0,1338485.0
Region 7,2025-08-01,1636.0,1338485.0
Region 7,2025-09-01,39445.0,1338485.0
Region 7,2025-10-01,131744.0,1338485.0
Region 7,2025-11-01,180511.0,1338485.0
Region 7,2025-12-01,213399.0,1338485.0
Region 8,2022-07-01,543.0,2892922.0
Region 8,2022-08-01,8906.0,2892922.0
Region 8,2022-09-01,144081.0,2892922.0
Region 8,2022-10-01,460079.0,2892922.0
Region 8,2022-11-01,677111.0,2892922.0
Region 8,2022-12-01,779988.0,2892922.0
Region 8,2023-01-01,830127.0,2892922.0
Region 8,2023-02-01,857681.0,2892922.0
Region 8,2023-03-01,874159.0,2892922.0
Region 8,2023-04-01,878673.0,2892922.0
Region 8,2023-05-01,880730.0,2892922.0
Region 8,2023-06-01,881425.0,2892922.0
Region 8,2023-07-01,296.0,2873434.0
Region 8,2023-08-01,5801.0,2873434.0
Region 8,2023-09-01,138025.0,2873434.0
Region 8,2023-10-01,428854.0,2873434.0
Region 8,2023-11-01,607281.0,2873434.0
Region 8,2023-12-01,688191.0,2873434.0
Region 8,2024-01-01,740367.0,2873434.0
Region 8,2024-02-01,769757.0,2873434.0
Region 8,2024-03-01,784604.0,2873434.0
Region 8,2024-04-01,789600.0,2873434.0
Region 8,2024-05-01,791508.0,2873434.0
Region 8,2024-06-01,792468.0,2873434.0
Region 8,2024-07-01,175.0,2857544.0
Region 8,2024-08-01,5735.0,2857544.0
Region 8,2024-09-01,133589.0,2857544.0
Region 8,2024-10-01,413488.0,2857544.0
Region 8,2024-11-01,574459.0,2857544.0
Region 8,2024-12-01,647048.0,2857544.0
Region 8,2025-01-01,697113.0,2857544.0
Region 8,2025-02-01,727835.0,2857544.0
Region 8,2025-03-01,744633.0,2857544.0
Region 8,2025-04-01,749001.0,2857544.0
Region 8,2025-05-01,751168.0,2857544.0
Region 8,2025-06-01,751784.0,2857544.0
Region 8,2025-07-01,5.0,215010.0
Region 8,2025-08-01,41.0,215010.0
Region 8,2025-09-01,5797.0,215010.0
Region 8,2025-10-01,28760.0,215010.0
Region 8,2025-11-01,42072.0,215010.0
Region 8,2025-12-01,48588.0,215010.0
Region 9,2022-07-01,789.0,10768698.0
Region 9,2022-08-01,60339.0,10768698.0
Region 9,2022-09-01,504328.0,10768698.0
Region 9,2022-10-01,1309955.0,10768698.0
Region 9,2022-11-01,1985424.0,10768698.0
Region 9,2022-12-01,2369583.0,10768698.0
Region 9,2023-01-01,2577198.0,10768698.0
Region 9,2023-02-01,2715226.0,10768698.0
Region 9,2023-03-01,2820584.0,10768698.0
Region 9,2023-04-01,2867216.0,10768698.0
Region 9,2023-05-01,2894339.0,10768698.0
Region 9,2023-06-01,2907053.0,10768698.0
Region 9,2023-07-01,369.0,10630885.0
Region 9,2023-08-01,37541.0,10630885.0
Region 9,2023-09-01,506376.0,10630885.0
Region 9,2023-10-01,1256399.0,10630885.0
Region 9,2023-11-01,1810539.0,10630885.0
Region 9,2023-12-01,2119984.0,10630885.0
Region 9,2024-01-01,2344296.0,10630885.0
Region 9,2024-02-01,2488069.0,10630885.0
Region 9,2024-03-01,2582907.0,10630885.0
Region 9,2024-04-01,2631289.0,10630885.0
Region 9,2024-05-01,2655539.0,10630885.0
Region 9,2024-06-01,2666344.0,10630885.0
Region 9,2024-07-01,410.0,10518749.0
Region 9,2024-08-01,18832.0,10518749.0
Region 9,2024-09-01,403778.0,10518749.0
Region 9,2024-10-01,1134101.0,10518749.0
Region 9,2024-11-01,1650136.0,10518749.0
Region 9,2024-12-01,1935837.0,10518749.0
Region 9,2025-01-01,2166530.0,10518749.0
Region 9,2025-02-01,2334940.0,10518749.0
Region 9,2025-03-01,2452708.0,10518749.0
Region 9,2025-04-01,2509994.0,10518749.0
Region 9,2025-05-01,2534781.0,10518749.0
Region 9,2025-06-01,2544558.0,10518749.0
Region 9,2025-07-01,250.0,8216613.0
Region 9,2025-08-01,45819.0,8216613.0
Region 9,2025-09-01,444116.0,8216613.0
Region 9,2025-10-01,1038786.0,8216613.0
Region 9,2025-11-01,1416002.0,8216613.0
Region 9,2025-12-01,1686327.0,8216613.0
